P코드순번,P코드,거래처명,시도명,시군구명,읍면동명,주소,대리점코드,대리점명,중복여부,점유비,P코드합계,대리점실적,,신규,MNP,기변,,MNO,MVNO,(MVNO비중),,번들,동판
P955491,P95549,주식회사 포스모바일,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13546,ACT대리점,중복점,60.25%,161,97,,1,9,87,,8,1,11.11%,,0,2
P955492,P95549,주식회사 포스모바일,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13225,광장대리점,중복점,39.75%,161,64,,1,10,53,,9,1,10.00%,,2,6
PC58501,PC5850,수텔레콤,서울,광진구,구의동,서울특별시 광진구 광나루로56길 85,D13858,새서울대리점,수도권_전속,100.00%,147,147,,2,17,128,,14,3,17.65%,,0,4
PC46741,PC4674,에어,서울,광진구,구의동,서울특별시 광진구 광나루로56길 85,D14674,서울ent대리점,수도권_전속,100.00%,140,140,,7,25,108,,21,4,16.00%,,0,6
PE55671,PE5567,맥스모바일,경기,화성시 동탄구,반송동,경기도 화성시 동탄중심상가2길 37,D13469,코넥,중복점,90.37%,135,122,,0,5,117,,5,0,0.00%,,0,3
PE55672,PE5567,맥스모바일,경기,화성시 동탄구,반송동,경기도 화성시 동탄중심상가2길 37,D13827,지은대리점,중복점,8.89%,135,12,,0,1,11,,1,0,0.00%,,0,0
PE55673,PE5567,맥스모바일,경기,화성시 동탄구,반송동,경기도 화성시 동탄중심상가2길 37,D15146,PS&M,중복점,0.74%,135,1,,0,1,0,,1,0,0.00%,,0,0
PE93721,PE9372,일타폰동대문성지,서울,종로구,숭인동,서울특별시 종로구 종로 347,D13952,참스타대리점,수도권_전속,100.00%,133,133,,0,1,132,,1,0,0.00%,,0,0
PE81951,PE8195,휴대폰성지 인생네폰 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 24,D13827,지은대리점,중복점,82.71%,133,110,,0,7,103,,4,3,42.86%,,0,1
PE81952,PE8195,휴대폰성지 인생네폰 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 24,D13622,MD대리점,중복점,15.79%,133,21,,0,1,20,,1,0,0.00%,,0,0
PE81953,PE8195,휴대폰성지 인생네폰 가산점,서울,금천구,가산동,서울특별시 금천구 가산디지털1로 24,D13965,대교대리점,중복점,1.50%,133,2,,0,0,2,,0,0,0.00%,,0,0
PC29141,PC2914,라인통신2,서울,광진구,구의동,"서울 광진구 광나루로56길 85,",D15117,알파대리점,수도권_전속,100.00%,127,127,,1,51,75,,26,25,49.02%,,0,4
P941321,P94132,우원,서울,성동구,행당동,서울특별시 성동구 행당로 102,D13742,한유대리점,수도권_전속,100.00%,127,127,,4,3,120,,1,2,66.67%,,0,3
PA73281,PA7328,힐링,서울,광진구,구의동,서울특별시 광진구 광나루로56길 85,D13225,광장대리점,수도권_전속,100.00%,119,119,,0,21,98,,16,5,23.81%,,0,1
PE50531,PE5053,디오엔,서울,용산구,한강로2가,서울특별시 용산구 한강대로 69,D15157,근흥대리점,중복점,94.69%,113,107,,0,107,0,,13,94,87.85%,,0,0
PE50532,PE5053,디오엔,서울,용산구,한강로2가,서울특별시 용산구 한강대로 69,D15146,PS&M,중복점,5.31%,113,6,,0,0,6,,0,0,0.00%,,0,0
PE38381,PE3838,주식회사 아람네트웍스,경기,의정부시,민락동,경기도 의정부시 오목로 196,D13357,가능대리점,수도권_전속,100.00%,112,112,,0,8,104,,2,6,75.00%,,0,0
PE90011,PE9001,명숙통신,경기,수원시 팔달구,매산로1가,경기도 수원시 팔달구 매산로 1,D14674,서울ent대리점,중복점,73.87%,111,82,,0,80,2,,32,48,60.00%,,0,3
PE39631,PE3963,(주)신진상사,경기,의정부시,녹양동,경기도 의정부시 녹양로 65,D13965,대교대리점,중복점,48.65%,111,54,,0,54,0,,20,34,62.96%,,0,3
