P코드순번,P코드,거래처명,시도명,시군구명,읍면동명,주소,대리점코드,대리점명,중복여부,점유비,P코드합계,대리점실적,,신규,MNP,기변,,MNO,MVNO,(MVNO비중),,번들,동판
PC87631,PC8763,프렌즈,서울,광진구,구의동,서울특별시 광진구 광나루로56길 85,D15157,근흥대리점,수도권_전속,100.00%,26,26,,0,2,24,,1,1,50.00%,,0,0
P666711,P66671,로또텔레콤,인천,중구,인현동,인천광역시 중구 우현로 지하69,D14342,신창대리점,수도권_전속,100.00%,26,26,,0,2,24,,2,0,0.00%,,0,1
PC83891,PC8389,이지모바일,경기,성남시 분당구,삼평동,경기도 성남시 분당구 판교역로 240,D14674,서울ent대리점,수도권_전속,100.00%,26,26,,0,2,24,,1,1,50.00%,,0,0
PE96471,PE9647,앤모바일,서울,성동구,상왕십리동,서울특별시 성동구 왕십리로 390,D14674,서울ent대리점,수도권_전속,100.00%,26,26,,0,1,25,,1,0,0.00%,,0,1
PC58851,PC5885,폰스타 평촌점,경기,안양시 동안구,평촌동,경기도 안양시 동안구 평촌대로 140,D14342,신창대리점,중복점,92.31%,26,24,,0,5,19,,5,0,0.00%,,0,0
PC60431,PC6043,에스엠텔레콤,경기,남양주시,호평동,경기도 남양주시 늘을2로 26,D13965,대교대리점,중복점,88.46%,26,23,,1,6,16,,6,0,0.00%,,0,1
PC78551,PC7855,휴대폰성지 세모폰 분당서현점,경기,성남시 분당구,서현동,경기도 성남시 분당구 돌마로486번길 6,D15146,PS&M,중복점,69.23%,26,18,,2,4,12,,3,1,25.00%,,0,0
PC89331,PC8933,삼삼모바일,서울,중랑구,신내동,서울특별시 중랑구 용마산로125가길 41,D13469,코넥,중복점,69.23%,26,18,,0,0,18,,0,0,0.00%,,0,0
PE76321,PE7632,핸드폰클리닉 성지 민락점,경기,의정부시,민락동,경기도 의정부시 오목로225번길 157,D13965,대교대리점,중복점,65.38%,26,17,,0,3,14,,3,0,0.00%,,0,0
PE30511,PE3051,휴대폰성지 판다폰 청라점,인천,서구,청라동,인천광역시 서구 청라커낼로 323,D13827,지은대리점,중복점,61.54%,26,16,,0,2,14,,2,0,0.00%,,0,0
PE71151,PE7115,휴대폰성지 수원성지폰,경기,수원시 팔달구,지동,경기도 수원시 팔달구 중부대로 123,F13586,신도SDR,중복점,50.00%,26,13,,0,10,3,,5,5,50.00%,,0,0
PE71152,PE7115,휴대폰성지 수원성지폰,경기,수원시 팔달구,지동,경기도 수원시 팔달구 중부대로 123,D13827,지은대리점,중복점,50.00%,26,13,,0,1,12,,0,1,100.00%,,0,0
PC27401,PC2740,주식회사 하나컴퍼니,경기,안산시 단원구,와동,경기도 안산시 단원구 와동로 2,D14342,신창대리점,중복점,46.15%,26,12,,0,10,2,,10,0,0.00%,,0,1
PC27402,PC2740,주식회사 하나컴퍼니,경기,안산시 단원구,와동,경기도 안산시 단원구 와동로 2,D13469,코넥,중복점,46.15%,26,12,,0,10,2,,10,0,0.00%,,0,4
PE30512,PE3051,휴대폰성지 판다폰 청라점,인천,서구,청라동,인천광역시 서구 청라커낼로 323,D13951,강남스타대리점,중복점,38.46%,26,10,,0,1,9,,1,0,0.00%,,0,0
PE76322,PE7632,핸드폰클리닉 성지 민락점,경기,의정부시,민락동,경기도 의정부시 오목로225번길 157,D15146,PS&M,중복점,34.62%,26,9,,0,0,9,,0,0,0.00%,,0,0
PC78552,PC7855,휴대폰성지 세모폰 분당서현점,경기,성남시 분당구,서현동,경기도 성남시 분당구 돌마로486번길 6,D15121,CD대리점,중복점,30.77%,26,8,,0,2,6,,1,1,50.00%,,0,0
PC89332,PC8933,삼삼모바일,서울,중랑구,신내동,서울특별시 중랑구 용마산로125가길 41,D13546,ACT대리점,중복점,23.08%,26,6,,0,0,6,,0,0,0.00%,,0,0
PC60432,PC6043,에스엠텔레콤,경기,남양주시,호평동,경기도 남양주시 늘을2로 26,D15176,ACE대리점,중복점,11.54%,26,3,,0,2,1,,2,0,0.00%,,0,0
PC27403,PC2740,주식회사 하나컴퍼니,경기,안산시 단원구,와동,경기도 안산시 단원구 와동로 2,D18211,군인공제회대리점,중복점,7.69%,26,2,,0,2,0,,2,0,0.00%,,0,0
PC58852,PC5885,폰스타 평촌점,경기,안양시 동안구,평촌동,경기도 안양시 동안구 평촌대로 140,D13965,대교대리점,중복점,7.69%,26,2,,0,0,2,,0,0,0.00%,,0,0
PC89333,PC8933,삼삼모바일,서울,중랑구,신내동,서울특별시 중랑구 용마산로125가길 41,D13858,새서울대리점,중복점,7.69%,26,2,,0,2,0,,2,0,0.00%,,0,0
P899991,P89999,엘에스티,경기,수원시 영통구,매탄동,경기도 수원시 영통구 인계로 212,D15146,PS&M,PS_전속,100.00%,25,25,,1,12,12,,7,5,41.67%,,0,0
PC96121,PC9612,엠제이통신 동탄4호점,경기,화성시 동탄구,반송동,경기도 화성시 동탄반석로 144,D13542,삼보대리점,수도권_전속,100.00%,25,25,,0,11,14,,11,0,0.00%,,0,8
PE11521,PE1152,청솔텔레콤단관점,강원,원주시,단구동,강원특별자치도원주시단구로370,D15146,PS&M,PS_전속,100.00%,25,25,,1,1,23,,1,0,0.00%,,0,0
PE40561,PE4056,에스피텔레콤,서울,송파구,문정동,서울특별시 송파구 충민로 66,D13546,ACT대리점,수도권_전속,100.00%,25,25,,1,2,22,,2,0,0.00%,,0,0
PE64091,PE6409,검단휴대폰성지 쓸사람,인천,서구,당하동,인천광역시서구이음4로6,D15146,PS&M,PS_전속,100.00%,25,25,,1,12,12,,12,0,0.00%,,0,0
PE27341,PE2734,좋은선택 대화역점,경기,고양시 일산서구,대화동,경기도 고양시 일산서구 중앙로 1560-34,D13858,새서울대리점,수도권_전속,100.00%,25,25,,2,17,6,,12,5,29.41%,,0,2
PE77711,PE7771,더드림 하남미사점,경기,하남시,망월동,경기도 하남시 미사강변동로 100-1,D13622,MD대리점,수도권_전속,100.00%,25,25,,1,4,20,,0,4,100.00%,,0,0
PE84201,PE8420,파인즈  수서점,서울,강남구,수서동,서울특별시 강남구 밤고개로1길 10,D13827,지은대리점,수도권_전속,100.00%,25,25,,0,24,1,,24,0,0.00%,,1,10
PE84541,PE8454,미사1등휴대폰성지다온모두의폰,경기,하남시,망월동,경기도 하남시 미사강변남로 103,D14342,신창대리점,수도권_전속,100.00%,25,25,,3,4,18,,3,1,25.00%,,0,2
PE89351,PE8935,휴대폰 성지 싸당 양천점,서울,양천구,목동,서울특별시 양천구 목동중앙로 97,D15121,CD대리점,수도권_전속,100.00%,25,25,,1,1,23,,1,0,0.00%,,0,0
PE93731,PE9373,휴대폰성지,인천,미추홀구,주안동,인천광역시 미추홀구 경인로 452,D13124,UNI대리점,수도권_전속,100.00%,25,25,,21,0,4,,0,0,0.00%,,0,0
PE08901,PE0890,늘품,서울,구로구,구로동,서울특별시 구로구 새말로 97,F13586,신도SDR,수도권_전속,100.00%,25,25,,1,4,20,,3,1,25.00%,,0,0
PE96971,PE9697,목감휴대폰성지도매아울렛11호,경기,시흥시,목감동,"경기 시흥시 목감우회로 45,",D13542,삼보대리점,수도권_전속,100.00%,25,25,,1,16,8,,15,1,6.25%,,0,3
P844351,P84435,미소통신,서울,노원구,상계동,서울특별시 노원구 한글비석로52길 30,D14342,신창대리점,중복점,96.00%,25,24,,0,4,20,,4,0,0.00%,,0,1
PE27631,PE2763,휴대폰의모든것청춘대길오거리점,서울,은평구,응암동,서울특별시 은평구 가좌로 233,F13586,신도SDR,중복점,92.00%,25,23,,0,8,15,,8,0,0.00%,,0,2
PE39821,PE3982,주식회사폰스타삼성앤드애플점,경기,안양시 동안구,비산동,경기도 안양시 동안구 시민대로 181,D14342,신창대리점,중복점,92.00%,25,23,,0,7,16,,7,0,0.00%,,0,1
PE95491,PE9549,1083모바일,강원,춘천시,퇴계동,"강원 춘천시 퇴계로105번길 5,",D83213,T&B대리점,중복점,84.00%,25,21,,0,11,10,,11,0,0.00%,,1,4
PE92451,PE9245,핸드폰마을,경기,하남시,덕풍동,경기도 하남시 신장로 133,D15176,ACE대리점,중복점,80.00%,25,20,,0,13,7,,13,0,0.00%,,0,4
P873841,P87384,YL통신,경기,고양시 일산서구,주엽동,경기도 고양시 일산서구 중앙로 1456,D13952,참스타대리점,중복점,76.00%,25,19,,3,8,8,,7,1,12.50%,,0,3
P892911,P89291,상상통신,서울,광진구,군자동,서울특별시 광진구 광나루로 369,D13225,광장대리점,중복점,64.00%,25,16,,0,3,13,,3,0,0.00%,,0,4
P714201,P71420,우광통신,경기,광명시,광명동,경기도 광명시 광명로 830,D14746,유원대리점,중복점,60.00%,25,15,,1,8,6,,7,1,12.50%,,0,0
PE46601,PE4660,옥지통신,강원,원주시,명륜동,강원특별자치도 원주시 남원로 654,D15146,PS&M,중복점,60.00%,25,15,,0,0,15,,0,0,0.00%,,0,0
PE46761,PE4676,대박통신2,서울,동대문구,장안동,서울특별시 동대문구 장한로 166,D13742,한유대리점,중복점,52.00%,25,13,,2,0,11,,0,0,0.00%,,0,0
PE46762,PE4676,대박통신2,서울,동대문구,장안동,서울특별시 동대문구 장한로 166,D14342,신창대리점,중복점,48.00%,25,12,,0,1,11,,1,0,0.00%,,0,0
PE00761,PE0076,라온통신,경기,평택시,통복동,"경기 평택시 중앙로 2,",D13542,삼보대리점,중복점,40.00%,25,10,,0,10,0,,6,4,40.00%,,0,2
PE46602,PE4660,옥지통신,강원,원주시,명륜동,강원특별자치도 원주시 남원로 654,D14674,서울ent대리점,중복점,40.00%,25,10,,0,0,10,,0,0,0.00%,,0,0
P892912,P89291,상상통신,서울,광진구,군자동,서울특별시 광진구 광나루로 369,D15146,PS&M,중복점,36.00%,25,9,,0,0,9,,0,0,0.00%,,0,0
PE00762,PE0076,라온통신,경기,평택시,통복동,"경기 평택시 중앙로 2,",D13742,한유대리점,중복점,32.00%,25,8,,0,7,1,,4,3,42.86%,,0,0
PE00763,PE0076,라온통신,경기,평택시,통복동,"경기 평택시 중앙로 2,",D15176,ACE대리점,중복점,28.00%,25,7,,0,7,0,,4,3,42.86%,,0,0
P873842,P87384,YL통신,경기,고양시 일산서구,주엽동,경기도 고양시 일산서구 중앙로 1456,D15146,PS&M,중복점,24.00%,25,6,,0,1,5,,0,1,100.00%,,0,0
P714202,P71420,우광통신,경기,광명시,광명동,경기도 광명시 광명로 830,D13965,대교대리점,중복점,20.00%,25,5,,1,2,2,,2,0,0.00%,,0,0
P714203,P71420,우광통신,경기,광명시,광명동,경기도 광명시 광명로 830,D13952,참스타대리점,중복점,20.00%,25,5,,1,4,0,,1,3,75.00%,,0,1
PE92452,PE9245,핸드폰마을,경기,하남시,덕풍동,경기도 하남시 신장로 133,D15146,PS&M,중복점,20.00%,25,5,,1,2,2,,2,0,0.00%,,0,0
PE95492,PE9549,1083모바일,강원,춘천시,퇴계동,"강원 춘천시 퇴계로105번길 5,",D15146,PS&M,중복점,16.00%,25,4,,0,4,0,,3,1,25.00%,,0,0
PE27632,PE2763,휴대폰의모든것청춘대길오거리점,서울,은평구,응암동,서울특별시 은평구 가좌로 233,D13124,UNI대리점,중복점,8.00%,25,2,,0,0,2,,0,0,0.00%,,0,0
PE39822,PE3982,주식회사폰스타삼성앤드애플점,경기,안양시 동안구,비산동,경기도 안양시 동안구 시민대로 181,D13827,지은대리점,중복점,8.00%,25,2,,0,0,2,,0,0,0.00%,,0,0
P844352,P84435,미소통신,서울,노원구,상계동,서울특별시 노원구 한글비석로52길 30,D15146,PS&M,중복점,4.00%,25,1,,0,1,0,,1,0,0.00%,,0,0
P139941,P13994,짱텔레콤,서울,성동구,용답동,서울특별시 성동구 용답중앙15길 3,D13858,새서울대리점,수도권_전속,100.00%,24,24,,0,1,23,,1,0,0.00%,,0,2
P435161,P43516,씨엔엔구월점,인천,남동구,구월동,인천광역시 남동구 호구포로 788,D13952,참스타대리점,수도권_전속,100.00%,24,24,,0,0,24,,0,0,0.00%,,0,0
P657701,P65770,와이지 모바일,인천,서구,신현동,인천광역시 서구 가정로 363,D13952,참스타대리점,수도권_전속,100.00%,24,24,,3,6,15,,6,0,0.00%,,0,5
P687821,P68782,ES통신,경기,안산시 단원구,고잔동,경기도 안산시 단원구 광덕4로 220,D13965,대교대리점,수도권_전속,100.00%,24,24,,3,5,16,,5,0,0.00%,,0,1
P935211,P93521,르호봇시스템,경기,과천시,별양동,경기도 과천시 별양상가1로 31,D15146,PS&M,PS_전속,100.00%,24,24,,0,6,18,,3,3,50.00%,,0,0
PE16201,PE1620,777휴대폰 안성점,경기,안성시,옥산동,경기안성시아양1로61,D01046,PS&M,PS_전속,100.00%,24,24,,1,7,16,,6,1,14.29%,,0,0
PC73231,PC7323,주식회사 로사네트워크,강원,태백시,황지동,강원 태백시 황지로 162,D13952,참스타대리점,수도권_전속,100.00%,24,24,,4,6,14,,6,0,0.00%,,0,1
PC49271,PC4927,휴대폰종합할인매장,경기,평택시,평택동,경기도 평택시 평택로32번길 11,D15176,ACE대리점,수도권_전속,100.00%,24,24,,0,24,0,,10,14,58.33%,,1,6
PE82461,PE8246,휴대폰성지,경기,남양주시,화도읍,경기도 남양주시 화도읍 창현로 53,D14674,서울ent대리점,수도권_전속,100.00%,24,24,,0,4,20,,1,3,75.00%,,0,0
PE80741,PE8074,휴대폰 성지 싸당 평택점,경기,평택시,비전동,경기도 평택시 평택2로 130,D13542,삼보대리점,수도권_전속,100.00%,24,24,,0,1,23,,1,0,0.00%,,0,1
PE78651,PE7865,휴대폰 성지 싸당 영등포점,서울,영등포구,영등포동7가,서울특별시 영등포구 국회대로50길 20,D15121,CD대리점,수도권_전속,100.00%,24,24,,3,2,19,,1,1,50.00%,,0,0
P520851,P52085,세연텔레콤,강원,강릉시,입암동,강원 강릉시 용지로 51-1,D15146,PS&M,중복점,95.83%,24,23,,0,9,14,,8,1,11.11%,,0,0
PC46071,PC4607,명성모바일,경기,부천시 원미구,상동,경기도 부천시 장말로 198,D13124,UNI대리점,중복점,91.67%,24,22,,2,15,5,,15,0,0.00%,,1,0
P976181,P97618,지안텔레콤,경기,용인시 처인구,역북동,경기도 용인시 처인구 명지로60번길 8-10,D14342,신창대리점,중복점,87.50%,24,21,,2,4,15,,4,0,0.00%,,0,2
PE24421,PE2442,로얄텔레콤,경기,군포시,산본동,경기도 군포시 산본천로 177,D13965,대교대리점,중복점,87.50%,24,21,,0,1,20,,0,1,100.00%,,0,0
PC01331,PC0133,환웅통신,경기,고양시 일산서구,주엽동,경기도 고양시 일산서구 중앙로 1391,D14674,서울ent대리점,중복점,87.50%,24,21,,0,0,21,,0,0,0.00%,,0,0
PA57441,PA5744,주식회사 유퍼스트미세컨드,서울,강남구,대치동,서울특별시 강남구 역삼로 443,D15146,PS&M,중복점,83.33%,24,20,,2,2,16,,2,0,0.00%,,0,0
PE85171,PE8517,휴대폰성지판다폰타임스페이스점,인천,연수구,송도동,인천광역시 연수구 인천타워대로132번길 9,D13827,지은대리점,중복점,83.33%,24,20,,0,7,13,,7,0,0.00%,,0,0
PC56471,PC5647,휴대폰성지세모폰간석점,인천,남동구,간석동,"인천 남동구 석산로 146,",D15121,CD대리점,중복점,75.00%,24,18,,0,8,10,,4,4,50.00%,,0,2
PE70171,PE7017,원주휴대폰성지 무실점,강원,원주시,무실동,강원특별자치도 원주시 능라동길 48,D83213,T&B대리점,중복점,70.83%,24,17,,4,2,11,,2,0,0.00%,,0,1
PE20861,PE2086,우리동네모바일,서울,도봉구,창동,서울특별시 도봉구 노해로63나길 16-14,D13469,코넥,중복점,70.83%,24,17,,0,0,17,,0,0,0.00%,,0,0
P465161,P46516,대감텔레콤,서울,강북구,미아동,서울특별시 강북구 솔매로 118,D13462,광운대리점,중복점,58.33%,24,14,,0,6,8,,3,3,50.00%,,0,0
PE57971,PE5797,원주휴대폰쇼핑몰 AK점,강원,원주시,단계동,강원특별자치도 원주시 서원대로 125-5,D13469,코넥,중복점,54.17%,24,13,,0,5,8,,3,2,40.00%,,0,0
PE76391,PE7639,원주휴대폰성지 시청점,강원,원주시,무실동,강원특별자치도 원주시 시청로 74,D83213,T&B대리점,중복점,50.00%,24,12,,0,5,7,,5,0,0.00%,,0,2
P910051,P91005,홍진텔레콤,경기,용인시 처인구,포곡읍,경기도 용인시 처인구 포곡읍 포곡로 113,D15146,PS&M,중복점,45.83%,24,11,,4,3,4,,1,2,66.67%,,0,0
P465162,P46516,대감텔레콤,서울,강북구,미아동,서울특별시 강북구 솔매로 118,D15051,프리스비,중복점,41.67%,24,10,,0,2,8,,2,0,0.00%,,0,0
PE79941,PE7994,휴대폰성지세모폰송도1공구점,인천,연수구,송도동,인천광역시 연수구 해돋이로 168,D15146,PS&M,중복점,41.67%,24,10,,0,1,9,,1,0,0.00%,,0,0
PE79942,PE7994,휴대폰성지세모폰송도1공구점,인천,연수구,송도동,인천광역시 연수구 해돋이로 168,D15121,CD대리점,중복점,37.50%,24,9,,1,7,1,,6,1,14.29%,,0,5
P910052,P91005,홍진텔레콤,경기,용인시 처인구,포곡읍,경기도 용인시 처인구 포곡읍 포곡로 113,D13469,코넥,중복점,29.17%,24,7,,0,0,7,,0,0,0.00%,,0,0
PE20862,PE2086,우리동네모바일,서울,도봉구,창동,서울특별시 도봉구 노해로63나길 16-14,D13546,ACT대리점,중복점,29.17%,24,7,,0,0,7,,0,0,0.00%,,0,0
P910053,P91005,홍진텔레콤,경기,용인시 처인구,포곡읍,경기도 용인시 처인구 포곡읍 포곡로 113,D14674,서울ent대리점,중복점,25.00%,24,6,,1,1,4,,1,0,0.00%,,0,0
PE57972,PE5797,원주휴대폰쇼핑몰 AK점,강원,원주시,단계동,강원특별자치도 원주시 서원대로 125-5,D83213,T&B대리점,중복점,25.00%,24,6,,0,0,6,,0,0,0.00%,,0,0
PE76392,PE7639,원주휴대폰성지 시청점,강원,원주시,무실동,강원특별자치도 원주시 시청로 74,D13469,코넥,중복점,25.00%,24,6,,0,1,5,,0,1,100.00%,,0,0
PE57973,PE5797,원주휴대폰쇼핑몰 AK점,강원,원주시,단계동,강원특별자치도 원주시 서원대로 125-5,D13827,지은대리점,중복점,20.83%,24,5,,0,2,3,,2,0,0.00%,,0,0
PE70172,PE7017,원주휴대폰성지 무실점,강원,원주시,무실동,강원특별자치도 원주시 능라동길 48,D13469,코넥,중복점,20.83%,24,5,,0,1,4,,1,0,0.00%,,0,0
PA57442,PA5744,주식회사 유퍼스트미세컨드,서울,강남구,대치동,서울특별시 강남구 역삼로 443,D14342,신창대리점,중복점,16.67%,24,4,,1,0,3,,0,0,0.00%,,0,0
PC56472,PC5647,휴대폰성지세모폰간석점,인천,남동구,간석동,"인천 남동구 석산로 146,",D13357,가능대리점,중복점,16.67%,24,4,,0,4,0,,4,0,0.00%,,0,0
PE85172,PE8517,휴대폰성지판다폰타임스페이스점,인천,연수구,송도동,인천광역시 연수구 인천타워대로132번길 9,D13951,강남스타대리점,중복점,16.67%,24,4,,0,1,3,,1,0,0.00%,,0,0
P976182,P97618,지안텔레콤,경기,용인시 처인구,역북동,경기도 용인시 처인구 명지로60번길 8-10,D15121,CD대리점,중복점,12.50%,24,3,,0,0,3,,0,0,0.00%,,0,0
PE24422,PE2442,로얄텔레콤,경기,군포시,산본동,경기도 군포시 산본천로 177,D13827,지은대리점,중복점,12.50%,24,3,,1,0,2,,0,0,0.00%,,0,0
PE76393,PE7639,원주휴대폰성지 시청점,강원,원주시,무실동,강원특별자치도 원주시 시청로 74,D13742,한유대리점,중복점,12.50%,24,3,,0,1,2,,1,0,0.00%,,0,0
PE76394,PE7639,원주휴대폰성지 시청점,강원,원주시,무실동,강원특별자치도 원주시 시청로 74,D13827,지은대리점,중복점,12.50%,24,3,,0,2,1,,2,0,0.00%,,0,1
PE79943,PE7994,휴대폰성지세모폰송도1공구점,인천,연수구,송도동,인천광역시 연수구 해돋이로 168,D14674,서울ent대리점,중복점,12.50%,24,3,,0,0,3,,0,0,0.00%,,0,0
PC01332,PC0133,환웅통신,경기,고양시 일산서구,주엽동,경기도 고양시 일산서구 중앙로 1391,D13858,새서울대리점,중복점,12.50%,24,3,,0,0,3,,0,0,0.00%,,0,0
PC46072,PC4607,명성모바일,경기,부천시 원미구,상동,경기도 부천시 장말로 198,D13827,지은대리점,중복점,8.33%,24,2,,0,2,0,,2,0,0.00%,,0,0
PE70173,PE7017,원주휴대폰성지 무실점,강원,원주시,무실동,강원특별자치도 원주시 능라동길 48,D13827,지은대리점,중복점,8.33%,24,2,,0,0,2,,0,0,0.00%,,0,0
PE79944,PE7994,휴대폰성지세모폰송도1공구점,인천,연수구,송도동,인천광역시 연수구 해돋이로 168,D13357,가능대리점,중복점,8.33%,24,2,,0,0,2,,0,0,0.00%,,0,0
P520852,P52085,세연텔레콤,강원,강릉시,입암동,강원 강릉시 용지로 51-1,D13965,대교대리점,중복점,4.17%,24,1,,1,0,0,,0,0,0.00%,,0,0
PC56473,PC5647,휴대폰성지세모폰간석점,인천,남동구,간석동,"인천 남동구 석산로 146,",D14674,서울ent대리점,중복점,4.17%,24,1,,0,1,0,,1,0,0.00%,,0,0
PC56474,PC5647,휴대폰성지세모폰간석점,인천,남동구,간석동,"인천 남동구 석산로 146,",D15146,PS&M,중복점,4.17%,24,1,,0,1,0,,1,0,0.00%,,0,0
P836991,P83699,주식회사 프론티어홀딩스,경기,평택시,비전동,경기도 평택시 만세로 1838,D13542,삼보대리점,수도권_전속,100.00%,23,23,,4,10,9,,8,2,20.00%,,0,0
P973791,P97379,휴대폰 365 아울렛 진접점,경기,남양주시,진접읍,경기도 남양주시 진접읍 해밀예당1로 30,D15173,정원대리점,수도권_전속,100.00%,23,23,,0,17,6,,6,11,64.71%,,0,1
PC76101,PC7610,해피통신,경기,화성시 효행구,봉담읍,경기도 화성시 봉담읍 동화길 93-2,D13952,참스타대리점,수도권_전속,100.00%,23,23,,0,16,7,,15,1,6.25%,,0,8
PE15741,PE1574,중앙모바일,경기,수원시 장안구,율전동,경기도 수원시 장안구 서부로 2139,D13622,MD대리점,수도권_전속,100.00%,23,23,,0,1,22,,1,0,0.00%,,0,0
PC82901,PC8290,(주)알케이유통,경기,안산시 단원구,원곡동,경기도 안산시 단원구 중앙대로 457-1,D13965,대교대리점,수도권_전속,100.00%,23,23,,0,23,0,,3,20,86.96%,,0,0
PE90651,PE9065,휴대폰성지 도매폰 용인보정,경기,용인시 기흥구,보정동,"경기 용인시 기흥구 죽전로 58,",D13965,대교대리점,수도권_전속,100.00%,23,23,,0,14,9,,13,1,7.14%,,0,5
PE91251,PE9125,오웬,경기,안양시 만안구,안양동,경기도 안양시 만안구 장내로149번길 28,D13965,대교대리점,중복점,95.65%,23,22,,3,11,8,,11,0,0.00%,,0,3
PC84451,PC8445,JWG코퍼레이션,경기,남양주시,별내동,경기도 남양주시 덕송2로10번길 15-80,D15146,PS&M,중복점,95.65%,23,22,,13,0,9,,0,0,0.00%,,0,0
PE64941,PE6494,휴대폰특판매장 1등폰 망포점,경기,수원시 영통구,망포동,경기도 수원시 영통구 영통로 124,D13965,대교대리점,중복점,91.30%,23,21,,0,4,17,,4,0,0.00%,,0,3
PE69931,PE6993,휴대폰성지 용인미소폰 보정점,경기,용인시 기흥구,보정동,경기도 용인시 기흥구 죽전로 2,D13622,MD대리점,중복점,91.30%,23,21,,0,10,11,,9,1,10.00%,,0,5
P399781,P39978,영사운드,서울,용산구,한강로2가,서울특별시 용산구 새창로 181,D15146,PS&M,중복점,86.96%,23,20,,1,10,9,,10,0,0.00%,,0,0
PC31761,PC3176,플러스통신,경기,안양시 동안구,평촌동,경기도 안양시 동안구 흥안대로456번길 56,D13952,참스타대리점,중복점,82.61%,23,19,,0,4,15,,2,2,50.00%,,0,0
P884191,P88419,신방화 휴대폰할인마트,서울,강서구,마곡동,서울특별시 강서구 마곡중앙5로 81,D13965,대교대리점,중복점,78.26%,23,18,,0,7,11,,7,0,0.00%,,0,2
PE33351,PE3335,주식회사 청춘대길 홍제지점,서울,서대문구,홍제동,서울특별시 서대문구 통일로 438,F13586,신도SDR,중복점,78.26%,23,18,,0,5,13,,5,0,0.00%,,0,1
P771931,P77193,비젼텔레콤,서울,노원구,공릉동,서울특별시 노원구 공릉로 149,D13827,지은대리점,중복점,69.57%,23,16,,0,8,8,,5,3,37.50%,,0,1
P984911,P98491,바이폰,서울,도봉구,도봉동,서울특별시 도봉구 도봉로170길 16,D13827,지은대리점,중복점,69.57%,23,16,,0,0,16,,0,0,0.00%,,0,0
PE49741,PE4974,휴대폰성지 세모폰 부천시청점,경기,부천시 원미구,중동,경기도 부천시 원미구 소향로 181,D15121,CD대리점,중복점,69.57%,23,16,,0,14,2,,14,0,0.00%,,0,6
PC73221,PC7322,주식회사 본앤코리아,강원,원주시,단계동,강원 원주시 서원대로 111,D13622,MD대리점,중복점,65.22%,23,15,,2,2,11,,2,0,0.00%,,0,0
PC15671,PC1567,어셈블 진접본점,경기,남양주시,진접읍,"경기 남양주시 진접읍 해밀예당3로 59,",D15146,PS&M,중복점,65.22%,23,15,,0,15,0,,15,0,0.00%,,0,0
P696151,P69615,DM프리넷,서울,마포구,성산동,서울특별시 마포구 월드컵북로 187,D14342,신창대리점,중복점,52.17%,23,12,,1,1,10,,1,0,0.00%,,0,0
PE51051,PE5105,주식회사 더 트리플,경기,안양시 만안구,안양동,경기도 안양시 만안구 안양로 96,D13357,가능대리점,중복점,52.17%,23,12,,1,0,11,,0,0,0.00%,,0,1
P696152,P69615,DM프리넷,서울,마포구,성산동,서울특별시 마포구 월드컵북로 187,D13357,가능대리점,중복점,47.83%,23,11,,5,1,5,,1,0,0.00%,,0,0
PE79721,PE7972,주식회사 본앤코리아 탄벌지점,경기,광주시,탄벌동,경기도 광주시 포돌이로 35,D15146,PS&M,중복점,47.83%,23,11,,1,0,10,,0,0,0.00%,,0,0
PE51052,PE5105,주식회사 더 트리플,경기,안양시 만안구,안양동,경기도 안양시 만안구 안양로 96,D15121,CD대리점,중복점,43.48%,23,10,,0,1,9,,1,0,0.00%,,0,0
P494311,P49431,종로프라자,서울,종로구,창신동,서울특별시 종로구 지봉로5길 4,D15051,프리스비,중복점,39.13%,23,9,,0,0,9,,0,0,0.00%,,0,0
PE79722,PE7972,주식회사 본앤코리아 탄벌지점,경기,광주시,탄벌동,경기도 광주시 포돌이로 35,D13622,MD대리점,중복점,39.13%,23,9,,1,1,7,,1,0,0.00%,,0,0
P757861,P75786,휴대폰성지 잠실점,서울,송파구,잠실동,서울특별시 송파구 올림픽로 130,D13225,광장대리점,중복점,39.13%,23,9,,0,5,4,,3,2,40.00%,,0,1
PC73222,PC7322,주식회사 본앤코리아,강원,원주시,단계동,강원 원주시 서원대로 111,D15146,PS&M,중복점,34.78%,23,8,,0,2,6,,2,0,0.00%,,0,0
PC15672,PC1567,어셈블 진접본점,경기,남양주시,진접읍,"경기 남양주시 진접읍 해밀예당3로 59,",D15173,정원대리점,중복점,34.78%,23,8,,1,3,4,,3,0,0.00%,,0,1
P771932,P77193,비젼텔레콤,서울,노원구,공릉동,서울특별시 노원구 공릉로 149,D14342,신창대리점,중복점,30.43%,23,7,,0,2,5,,1,1,50.00%,,0,0
P984912,P98491,바이폰,서울,도봉구,도봉동,서울특별시 도봉구 도봉로170길 16,D13951,강남스타대리점,중복점,30.43%,23,7,,0,0,7,,0,0,0.00%,,0,0
P494312,P49431,종로프라자,서울,종로구,창신동,서울특별시 종로구 지봉로5길 4,D13546,ACT대리점,중복점,26.09%,23,6,,0,2,4,,2,0,0.00%,,0,0
P494313,P49431,종로프라자,서울,종로구,창신동,서울특별시 종로구 지봉로5길 4,D15173,정원대리점,중복점,26.09%,23,6,,1,0,5,,0,0,0.00%,,0,0
